Winner,Loser,Date,PD,Location,Loc,winScore,loseScore,winID,loseID,GameType
Male,Covington Catholic,02/15/20,16,Male,1,79,63,161,61,0
Marion County,Taylor County,02/15/20,1,Taylor County,0,57,56,162,243,0
Marshall County,Christian County,02/15/20,6,Marshall County,1,56,50,163,51,0
Mason County,Harrison County,02/15/20,21,Mason County,1,84,63,165,113,0
McLean County,Dawson Springs,02/15/20,35,Dawson Springs,0,81,46,169,68,0
Metcalfe County,Russellville,02/15/20,9,Metcalfe County,1,87,78,173,220,0
Model,Harlan County,02/15/20,4,Model,1,55,51,175,112,0
Newport Central Catholic,Newport,02/15/20,3,Newport,0,50,47,184,183,0
North Bullitt,Fairdale,02/15/20,0.5,Fairdale,0,95,93,186,84,0
North Laurel,Hazard,02/15/20,0.5,North Laurel,1,63,60,188,115,0
Oneida Baptist Institute,Lynn Camp,02/15/20,4,Lynn Camp,0,66,62,192,155,0
Paducah Tilghman,OUT_STATE,02/15/20,36,OUT_STATE,0,91,55,197,0,0
OUT_STATE,Pineville,02/15/20,5,OUT_STATE,1,63,58,0,206,0
Pikeville,Lawrence County,02/15/20,2,Lawrence County,0,59,57,205,142,0
Portland Christian,Community Christian (Paducah),02/15/20,16,Portland Christian,1,79,63,208,56,0
Prestonsburg,Powell County,02/15/20,20,Prestonsburg,1,66,46,210,209,0
Raceland,Rose Hill Christian,02/15/20,2,Raceland,1,53,51,212,216,0
Rowan County,Morgan County,02/15/20,13,Rowan County,1,61,48,217,179,0
Russell County,Jackson County,02/15/20,13,Russell County,1,60,47,219,130,0
Scott County,Johnson Central,02/15/20,27,Scott County,1,88,61,224,134,0
Somerset,Green County,02/15/20,39,Somerset,1,79,40,230,107,0
Spencer County,Henry County,02/15/20,25,Spencer County,1,73,48,236,118,0
St. Francis,Bellevue,02/15/20,23,Bellevue,0,78,55,237,17,0
St. Xavier,Woodford County,02/15/20,40,St. Xavier,1,77,37,241,271,0
Tates Creek,Paul Laurence Dunbar,02/15/20,2,Paul Laurence Dunbar,0,66,64,242,200,0
Trimble County,Owen County,02/15/20,3,Owen County,0,60,57,247,193,0
Western,Fort Knox,02/15/20,10,Fort Knox,0,74,64,264,90,0
Williamsburg,Bell County,02/15/20,3,Williamsburg,1,76,73,268,16,0
Pulaski County,Danville,02/16/20,12,Pulaski County,1,92,80,211,65,0
Bell County,Berea,02/17/20,25,Neutral,2,68,43,16,18,0
Atherton,Brown,02/17/20,39,Atherton,1,77,38,6,31,0
Bishop Brossart,St. Patrick,02/17/20,33,Bishop Brossart,1,73,40,22,240,0
Bracken County,Ludlow,02/17/20,2,Bracken County,1,75,73,28,154,0
Breathitt County,Cordia,02/17/20,1,Cordia,0,63,62,29,60,0
Bryan Station,Frederick Douglass,02/17/20,23,Bryan Station,1,80,57,32,95,0
Calvary Christian,Nicholas County,02/17/20,5,Nicholas County,0,61,56,41,185,0
Clay County,Perry County Central,02/17/20,22,Clay County,1,83,61,53,202,0
Clinton County,South Warren,02/17/20,6,Clinton County,1,50,44,54,233,0
Corbin,Lynn Camp,02/17/20,30,Lynn Camp,0,86,56,59,155,0
Crittenden County,Dawson Springs,02/17/20,6,Dawson Springs,0,86,80,63,68,0
Dayton,Covington Latin,02/17/20,55,Dayton,1,87,32,69,62,0
East Jessamine,Rockcastle County,02/17/20,4,East Jessamine,1,65,61,75,215,0
Estill County,Lee County,02/17/20,39,Lee County,0,81,42,82,143,0
Floyd Central,Jenkins,02/17/20,26,Jenkins,0,83,57,88,132,0
Fort Knox,Frederick Fraize,02/17/20,39,Fort Knox,1,64,25,90,96,0
Fulton City,Community Christian (Paducah),02/17/20,29,Community Christian (Paducah),0,76,47,97,56,0
Garrard County,OUT_STATE,02/17/20,14,Garrard County,1,64,50,100,0,0
Grant County,Owen County,02/17/20,13,Grant County,1,75,62,103,193,0
Grayson County,Daviess County,02/17/20,11,Daviess County,0,57,46,105,67,0
Hart County,Edmonson County,02/17/20,5,Hart County,1,63,58,114,78,0
Henderson County,Hancock County,02/17/20,21,Henderson County,1,70,49,116,110,0
Henry County,Walden,02/17/20,6,Henry County,1,65,59,118,255,0
Heritage Academy,Frankfort Christian,02/17/20,28,Heritage Academy,1,60,32,119,92,0
Hopkins County Central,Todd County Central,02/17/20,10,Hopkins County Central,1,66,56,126,245,0
Johnson Central,Prestonsburg,02/17/20,18,Prestonsburg,0,81,63,134,210,0
OUT_STATE,Kentucky School f/t Deaf,02/17/20,16,Kentucky School f/t Deaf,0,44,28,0,137,0
Leslie County,Buckhorn,02/17/20,10,Leslie County,1,60,50,144,33,0
Lexington Christian,Anderson County,02/17/20,3,Lexington Christian,1,45,42,148,3,0
Louisville Collegiate,Valley,02/17/20,21,Valley,0,62,41,153,252,0
Martin County,Betsy Layne,02/17/20,17,Betsy Layne,0,68,51,164,21,0
Mayfield,Fulton County,02/17/20,24,Fulton County,0,80,56,166,98,0
McCracken County,Murray,02/17/20,0.5,Murray,0,54,49,167,181,0
McCreary Central,Casey County,02/17/20,25,McCreary Central,1,72,47,168,46,0
McLean County,OUT_STATE,02/17/20,33,McLean County,1,78,45,169,0,0
North Laurel,Harlan,02/17/20,16,North Laurel,1,83,67,188,111,0
Paducah Tilghman,Calloway County,02/17/20,15,Calloway County,0,71,56,197,40,0
Pike County Central,Belfry,02/17/20,2,Pike County Central,1,67,65,204,15,0
Pulaski County,Boyle County,02/17/20,32,Pulaski County,1,71,39,211,27,0
Red Bird,Oneida Baptist Institute,02/17/20,2,Red Bird,1,69,67,213,192,0
Rowan County,Bath County,02/17/20,21,Bath County,0,68,47,217,13,0
Scott County,Sayre,02/17/20,24,Sayre,0,77,53,224,222,0
Shawnee,Evangel Christian,02/17/20,45,Shawnee,1,77,32,226,83,0
Shelby Valley,OUT_STATE,02/17/20,25,Shelby Valley,1,77,52,228,0,0
South Laurel,Madison Central,02/17/20,16,South Laurel,1,66,50,231,157,0
Trimble County,Bellevue,02/17/20,25,Bellevue,0,84,59,247,17,0
University Heights,Owensboro Catholic,02/17/20,0.5,Owensboro Catholic,0,75,73,251,195,0
Warren East,Caverna,02/17/20,12,Caverna,0,78,66,258,47,0
Washington County,Adair County,02/17/20,21,Adair County,0,61,40,259,1,0
Webster County,Trinity (Whitesville),02/17/20,33,Trinity (Whitesville),0,71,38,261,249,0
Western Hills,Mercer County,02/17/20,13,Mercer County,0,82,69,265,172,0
Williamstown,Powell County,02/17/20,23,Williamstown,1,62,39,269,209,0
Adair County,Caverna,02/18/20,14,Adair County,1,64,50,1,47,0
OUT_STATE,Christian Fellowship,02/18/20,4,OUT_STATE,1,55,51,0,52,0
Ashland Blazer,West Carter,02/18/20,3,West Carter,0,57,54,5,262,0
Ballard Memorial,Trigg County,02/18/20,4,Ballard Memorial,1,64,60,9,246,0
Barbourville,Williamsburg,02/18/20,0.5,Barbourville,1,80,72,10,268,0
Bardstown,Taylor County,02/18/20,7,Taylor County,0,64,57,11,243,0
Barren County,Metcalfe County,02/18/20,26,Barren County,1,64,38,12,173,0
Beechwood,Lloyd Memorial,02/18/20,8,Lloyd Memorial,0,73,65,14,151,0
Berea,Heritage Academy,02/18/20,31,Berea,1,82,51,18,119,0
Bourbon County,Pendleton County,02/18/20,25,Pendleton County,0,79,54,24,201,0
Boyle County,Wayne County,02/18/20,11,Boyle County,1,51,40,27,260,0
Breathitt County,OUT_STATE,02/18/20,2,Breathitt County,1,59,57,29,0,0
Buckhorn,Owsley County,02/18/20,18,Buckhorn,1,75,57,33,196,0
Bullitt East,Nelson County,02/18/20,9,Nelson County,0,74,65,35,182,0
Butler,Southern,02/18/20,16,Butler,1,78,62,37,234,0
OUT_STATE,Raceland,02/18/20,24,OUT_STATE,1,89,65,0,212,0
Caldwell County,University Heights,02/18/20,19,Caldwell County,1,82,63,39,251,0
Calvary Christian,Bellevue,02/18/20,44,Bellevue,0,73,29,41,17,0
Campbell County,Boone County,02/18/20,21,Campbell County,1,78,57,42,23,0
Campbellsville,Green County,02/18/20,8,Green County,0,63,55,43,107,0
Carlisle County,Graves County,02/18/20,13,Carlisle County,1,54,41,44,104,0
OUT_STATE,Owensboro Catholic,02/18/20,4,Owensboro Catholic,0,79,75,0,195,0
Central Hardin,Breckinridge County,02/18/20,3,Central Hardin,1,65,62,49,30,0
OUT_STATE,Christian Academy-Louisville,02/18/20,0.5,Christian Academy-Louisville,0,80,78,0,50,0
Christian County,Union County,02/18/20,31,Union County,0,74,43,51,250,0
Collins,North Oldham,02/18/20,8,Collins,1,75,67,55,189,0
Conner,Holmes,02/18/20,5,Holmes,0,65,60,57,123,0
Cordia,Harlan County,02/18/20,17,Cordia,1,84,67,60,112,0
Crittenden County,Hopkins County Central,02/18/20,20,Crittenden County,1,67,47,63,126,0
Danville,Russell County,02/18/20,29,Danville,1,74,45,65,219,0
Danville Christian,Burgin,02/18/20,4,Burgin,0,59,55,66,36,0
Dixie Heights,Cooper,02/18/20,1,Dixie Heights,1,49,48,71,58,0
East Carter,Bath County,02/18/20,0.5,East Carter,1,62,61,74,13,0
East Ridge,Belfry,02/18/20,2,East Ridge,1,54,52,76,15,0
Elizabethtown,Lafayette,02/18/20,2,Elizabethtown,1,62,60,79,140,0
Estill County,Menifee County,02/18/20,16,Menifee County,0,75,59,82,171,0
Fairdale,Jeffersontown,02/18/20,5,Fairdale,1,75,70,84,131,0
Fern Creek,Valley,02/18/20,30,Valley,0,69,39,86,252,0
Fleming County,Morgan County,02/18/20,14,Fleming County,1,62,48,87,179,0
Fort Campbell,Russellville,02/18/20,7,Russellville,0,64,57,89,220,0
Frankfort Christian,Kentucky School f/t Deaf,02/18/20,14,Frankfort Christian,1,49,35,92,137,0
Franklin-Simpson,Warren East,02/18/20,15,Franklin-Simpson,1,63,48,94,258,0
Glasgow,Cumberland County,02/18/20,40,Glasgow,1,72,32,102,64,0
Great Crossing,Tates Creek,02/18/20,4,Tates Creek,0,57,53,106,242,0
Greenup County,Fairview,02/18/20,24,Greenup County,1,83,59,108,85,0
Greenwood,Monroe County,02/18/20,17,Greenwood,1,74,57,109,176,0
Hancock County,OUT_STATE,02/18/20,17,OUT_STATE,0,66,49,110,0,0
Harrison County,Paris,02/18/20,0.5,Harrison County,1,64,61,113,199,0
Hazard,Letcher County Central,02/18/20,24,Hazard,1,63,39,115,145,0
Henry Clay,Scott County,02/18/20,6,Henry Clay,1,67,61,117,224,0
Henry County,Trimble County,02/18/20,9,Trimble County,0,66,57,118,247,0
Hickman County,Livingston Central,02/18/20,1,Hickman County,1,56,55,120,150,0
Holy Cross (Covington),Ludlow,02/18/20,37,Ludlow,0,88,51,124,154,0
Hopkinsville,Bowling Green,02/18/20,4,Bowling Green,0,69,65,127,25,0
OUT_STATE,Boyd County,02/18/20,7,OUT_STATE,1,65,58,0,26,0
Iroquois,Atherton,02/18/20,9,Iroquois,1,72,63,128,6,0
Johnson Central,Floyd Central,02/18/20,9,Floyd Central,0,78,69,134,88,0
Knox Central,Knott County Central,02/18/20,9,Knott County Central,0,76,67,139,138,0
Lewis County,Augusta,02/18/20,1,Augusta,0,81,80,146,7,0
Lexington Catholic,Lincoln County,02/18/20,16,Lexington Catholic,1,73,57,147,149,0
Lexington Christian,Bryan Station,02/18/20,8,Bryan Station,0,66,58,148,32,0
Logan County,Ohio County,02/18/20,13,Ohio County,0,74,61,152,190,0
Lyon County,St. Mary,02/18/20,33,St. Mary,0,88,55,156,239,0
Madison Southern,Franklin County,02/18/20,2,Madison Southern,1,69,67,158,93,0
Madisonville-North Hopkins,Apollo,02/18/20,16,Madisonville-North Hopkins,1,58,42,159,4,0
Marion County,East Jessamine,02/18/20,8,Marion County,1,72,64,162,75,0
Marshall County,Mayfield,02/18/20,4,Mayfield,0,53,49,163,166,0
Martin County,Prestonsburg,02/18/20,33,Martin County,1,82,49,164,210,0
Mason County,Bishop Brossart,02/18/20,7,Bishop Brossart,0,69,62,165,22,0
Middlesboro,Jackson County,02/18/20,9,Middlesboro,1,60,51,174,130,0
Muhlenberg County,Todd County Central,02/18/20,23,Todd County Central,0,69,46,180,245,0
North Bullitt,Meade County,02/18/20,14,Meade County,0,73,59,186,170,0
Oldham County,Bullitt Central,02/18/20,33,Oldham County,1,87,54,191,34,0
Owen County,Williamstown,02/18/20,12,Owen County,1,59,47,193,269,0
Paintsville,Pikeville,02/18/20,1,Pikeville,0,68,67,198,205,0
Paul Laurence Dunbar,West Jessamine,02/18/20,3,Paul Laurence Dunbar,1,74,71,200,263,0
Phelps,Pike County Central,02/18/20,26,Pike County Central,0,64,38,203,204,0
Pineville,Red Bird,02/18/20,5,Pineville,1,57,52,206,213,0
Pleasure Ridge Park,DuPont Manual,02/18/20,3,Pleasure Ridge Park,1,63,60,207,73,0
Robertson County,Bracken County,02/18/20,21,Robertson County,1,91,70,214,28,0
Russell,Elliott County,02/18/20,6,Elliott County,0,60,54,218,80,0
Sayre,Kentucky Country Day,02/18/20,1,Sayre,1,60,59,222,136,0
Scott,Ryle,02/18/20,3,Scott,1,59,56,223,221,0
Seneca,Ballard,02/18/20,3,Ballard,0,83,80,225,8,0
Shelby Valley,Magoffin County,02/18/20,11,Shelby Valley,1,73,62,228,160,0
Simon Kenton,Woodford County,02/18/20,23,Simon Kenton,1,87,64,229,271,0
Somerset,Garrard County,02/18/20,10,Garrard County,0,62,52,230,100,0
OUT_STATE,Villa Madonna,02/18/20,29,OUT_STATE,1,94,65,0,253,0
South Oldham,Walton-Verona,02/18/20,31,Walton-Verona,0,86,55,232,256,0
Southwestern,Perry County Central,02/18/20,12,Perry County Central,0,72,60,235,202,0
Spencer County,Bethlehem,02/18/20,11,Spencer County,1,59,48,236,20,0
St. Xavier,Moore,02/18/20,16,St. Xavier,1,74,58,241,178,0
Trinity (Louisville),Central,02/18/20,13,Trinity (Louisville),1,62,49,248,48,0
Waggener,Brown,02/18/20,50,Brown,0,82,32,254,31,0
Warren Central,Allen County-Scottsville,02/18/20,34,Allen County-Scottsville,0,75,41,257,2,0
Western,Holy Cross (Louisville),02/18/20,14,Holy Cross (Louisville),0,86,72,264,125,0
Whitefield Academy,Portland Christian,02/18/20,20,Portland Christian,0,76,56,266,208,0
Whitley County,Bell County,02/18/20,28,Whitley County,1,77,49,267,16,0
Wolfe County,Oneida Baptist Institute,02/18/20,24,Wolfe County,1,75,51,270,192,0
Eastern,Doss,02/19/20,14,Eastern,1,63,49,77,72,0
Elliott County,West Carter,02/19/20,2,Elliott County,1,58,56,80,262,0
Greenup County,St. Patrick,02/19/20,17,Greenup County,1,84,67,108,240,0
Henderson County,Hopkinsville,02/19/20,2,Henderson County,1,59,57,116,127,0
Henry Clay,LaRue County,02/19/20,13,Henry Clay,1,76,63,117,141,0
Letcher County Central,Jenkins,02/19/20,35,Jenkins,0,89,54,145,132,0
North Hardin,Washington County,02/19/20,23,North Hardin,1,85,62,187,259,0
Powell County,Lee County,02/19/20,17,Powell County,1,63,46,209,143,0
St. Henry,Highlands,02/19/20,17,St. Henry,1,68,51,238,121,0
Walden,Evangel Christian,02/19/20,26,Evangel Christian,0,72,46,255,83,0
Allen County-Scottsville,Russellville,02/20/20,3,Russellville,0,71,68,2,220,0
Ashland Blazer,Rose Hill Christian,02/20/20,32,Ashland Blazer,1,72,40,5,216,0
Atherton,Christian Academy-Louisville,02/20/20,5,Atherton,1,51,46,6,50,0
Barren County,Clinton County,02/20/20,0.5,Clinton County,0,65,54,12,54,0
Bell County,Oneida Baptist Institute,02/20/20,15,Oneida Baptist Institute,0,79,64,16,192,0
Berea,Western Hills,02/20/20,2,Western Hills,0,46,44,18,265,0
Betsy Layne,East Ridge,02/20/20,3,Betsy Layne,1,72,69,21,76,0
Bishop Brossart,Bellevue,02/20/20,28,Bellevue,0,56,28,22,17,0
Bourbon County,Harrison County,02/20/20,20,Harrison County,0,86,66,24,113,0
Boyd County,East Carter,02/20/20,23,Boyd County,1,69,46,26,74,0
Boyle County,Clay County,02/20/20,17,Boyle County,1,65,48,27,53,0
Breckinridge County,Trinity (Whitesville),02/20/20,12,Trinity (Whitesville),0,74,62,30,249,0
Butler County,Frederick Fraize,02/20/20,37,Frederick Fraize,0,81,44,38,96,0
Calvary Christian,OUT_STATE,02/20/20,16,Calvary Christian,1,62,46,41,0,0
Campbell County,Ryle,02/20/20,27,Campbell County,1,74,47,42,221,0
Conner,Newport Central Catholic,02/20/20,3,Newport Central Catholic,0,55,52,57,184,0
Daviess County,Union County,02/20/20,6,Daviess County,1,61,55,67,250,0
Edmonson County,Grayson County,02/20/20,12,Edmonson County,1,53,41,78,105,0
Elizabethtown,Bullitt East,02/20/20,7,Elizabethtown,1,71,64,79,35,0
Floyd Central,Belfry,02/20/20,14,Floyd Central,1,83,69,88,15,0
Fulton County,Ballard Memorial,02/20/20,10,Fulton County,1,78,68,98,9,0
George Rogers Clark,Bryan Station,02/20/20,11,Bryan Station,0,74,63,101,32,0
Glasgow,Franklin-Simpson,02/20/20,1,Glasgow,1,59,58,102,94,0
Grant County,Bracken County,02/20/20,24,Bracken County,0,89,65,103,28,0
Jackson City,Owsley County,02/20/20,6,Owsley County,0,61,55,129,196,0
Jackson County,Model,02/20/20,9,Model,0,59,50,130,175,0
OUT_STATE,Ballard,02/20/20,3,Ballard,0,80,77,0,8,0
Knox Central,Barbourville,02/20/20,13,Knox Central,1,74,61,139,10,0
Lewis County,Bath County,02/20/20,3,Lewis County,1,64,61,146,13,0
Logan County,Cumberland County,02/20/20,16,Cumberland County,0,66,50,152,64,0
Louisville Collegiate,Fairdale,02/20/20,0.5,Louisville Collegiate,1,69,66,153,84,0
Lyon County,Hopkins County Central,02/20/20,17,Hopkins County Central,0,87,70,156,126,0
Madisonville-North Hopkins,Ohio County,02/20/20,14,Madisonville-North Hopkins,1,67,53,159,190,0
Martin County,Pikeville,02/20/20,1,Martin County,1,50,49,164,205,0
McLean County,Crittenden County,02/20/20,14,McLean County,1,63,49,169,63,0
Meade County,Central Hardin,02/20/20,1,Meade County,1,45,44,170,49,0
Menifee County,Lee County,02/20/20,26,Menifee County,1,94,68,171,143,0
Montgomery County,North Oldham,02/20/20,13,Montgomery County,1,81,68,177,189,0
Murray,Carlisle County,02/20/20,7,Carlisle County,0,63,56,181,44,0
Nicholas County,St. Patrick,02/20/20,17,Nicholas County,1,79,62,185,240,0
North Bullitt,Brown,02/20/20,40,North Bullitt,1,91,51,186,31,0
Oldham County,Great Crossing,02/20/20,26,Great Crossing,0,69,43,191,106,0
Paris,Pendleton County,02/20/20,6,Paris,1,58,52,199,201,0
Phelps,Prestonsburg,02/20/20,12,Prestonsburg,0,62,50,203,210,0
Pike County Central,Magoffin County,02/20/20,11,Pike County Central,1,60,49,204,160,0
Raceland,Paintsville,02/20/20,7,Raceland,1,62,55,212,198,0
Rowan County,Mason County,02/20/20,14,Rowan County,1,50,36,217,165,0
Shelby County,Frankfort,02/20/20,2,Shelby County,1,73,71,227,91,0
Shelby Valley,Johnson Central,02/20/20,0.5,Johnson Central,0,88,87,228,134,0
Simon Kenton,Holmes,02/20/20,6,Simon Kenton,1,77,71,229,123,0
Somerset,Danville,02/20/20,23,Somerset,1,82,59,230,65,0
South Laurel,Rockcastle County,02/20/20,16,South Laurel,1,72,56,231,215,0
South Oldham,Henry County,02/20/20,7,Henry County,0,83,76,232,118,0
St. Francis,Evangel Christian,02/20/20,18,Evangel Christian,0,73,55,237,83,0
Thomas Nelson,Owen County,02/20/20,6,Owen County,0,68,62,244,193,0
Trigg County,Fort Campbell,02/20/20,22,Trigg County,1,71,49,246,89,0
Trinity (Louisville),Lexington Christian,02/20/20,10,Trinity (Louisville),1,60,50,248,148,0
Valley,Shawnee,02/20/20,12,Valley,1,69,57,252,226,0
Walton-Verona,Carroll County,02/20/20,8,Carroll County,0,81,73,256,45,0
Warren East,Monroe County,02/20/20,4,Warren East,1,76,72,258,176,0
Webster County,University Heights,02/20/20,1,Webster County,1,69,68,261,251,0
West Jessamine,Garrard County,02/20/20,6,Garrard County,0,63,57,263,100,0
Williamsburg,Pineville,02/20/20,25,Pineville,0,84,59,268,206,0
Williamstown,Frankfort Christian,02/20/20,51,Williamstown,1,74,23,269,92,0
Danville Christian,Evangel Christian,02/21/20,11,Neutral,2,69,58,66,83,0
Portland Christian,Heritage Academy,02/21/20,34,Portland Christian,1,107,73,208,119,0
Anderson County,Franklin County,02/21/20,22,Franklin County,0,55,33,3,93,0
Augusta,Ludlow,02/21/20,11,Augusta,1,73,62,7,154,0
Ballard,Bowling Green,02/21/20,18,Ballard,1,78,60,8,25,0
Barbourville,McCreary Central,02/21/20,6,Barbourville,1,49,43,10,168,0
Bardstown,North Hardin,02/21/20,2,Bardstown,1,77,75,11,187,0
Berea,Frankfort Christian,02/21/20,52,Frankfort Christian,0,74,22,18,92,0
Brown,St. Francis,02/21/20,9,Brown,1,79,70,31,237,0
Caldwell County,Livingston Central,02/21/20,29,Caldwell County,1,77,48,39,150,0
Calloway County,Ballard Memorial,02/21/20,22,Ballard Memorial,0,63,41,40,9,0
Campbellsville,Nelson County,02/21/20,16,Campbellsville,1,68,52,43,182,0
Christian Fellowship,Fulton City,02/21/20,4,Fulton City,0,68,64,52,97,0
Collins,Christian Academy-Louisville,02/21/20,23,Christian Academy-Louisville,0,72,49,55,50,0
Cooper,Scott,02/21/20,8,Cooper,1,50,42,58,223,0
Covington Catholic,Madison Central,02/21/20,10,Madison Central,0,58,48,61,157,0
Danville,East Jessamine,02/21/20,7,Danville,1,56,49,65,75,0
Dawson Springs,Todd County Central,02/21/20,8,Dawson Springs,1,78,70,68,245,0
Dixie Heights,Boone County,02/21/20,7,Boone County,0,72,65,71,23,0
Eastern,DuPont Manual,02/21/20,12,Eastern,1,62,50,77,73,0
Fairdale,Bullitt Central,02/21/20,10,Fairdale,1,78,68,84,34,0
Fairview,Menifee County,02/21/20,19,Fairview,1,69,50,85,171,0
Fern Creek,Doss,02/21/20,0.5,Doss,0,76,72,86,72,0
Fort Campbell,Community Christian (Paducah),02/21/20,22,Fort Campbell,1,68,46,89,56,0
Fort Knox,Whitefield Academy,02/21/20,4,Whitefield Academy,0,58,54,90,266,0
George Rogers Clark,Boyd County,02/21/20,18,George Rogers Clark,1,71,53,101,26,0
Graves County,Fulton County,02/21/20,28,Graves County,1,73,45,104,98,0
Grayson County,Hancock County,02/21/20,19,Grayson County,1,70,51,105,110,0
Greenup County,Fleming County,02/21/20,20,Greenup County,1,76,56,108,87,0
Greenwood,Edmonson County,02/21/20,11,Greenwood,1,71,60,109,78,0
Harlan County,Whitley County,02/21/20,32,Whitley County,0,78,46,112,267,0
Hart County,Adair County,02/21/20,31,Hart County,1,89,58,114,1,0
Hazard,Estill County,02/21/20,1,Hazard,1,41,40,115,82,0
Henry Clay,Taylor County,02/21/20,36,Henry Clay,1,76,40,117,243,0
Highlands,Beechwood,02/21/20,15,Beechwood,0,78,63,121,14,0
Holy Cross (Louisville),Bethlehem,02/21/20,11,Bethlehem,0,51,40,125,20,0
Hopkinsville,Paducah Tilghman,02/21/20,0.5,Hopkinsville,1,79,72,127,197,0
Jackson City,Nicholas County,02/21/20,12,Jackson City,1,74,62,129,185,0
Jeffersontown,Butler,02/21/20,10,Butler,0,64,54,131,37,0
Johnson Central,Lawrence County,02/21/20,16,Lawrence County,0,84,68,134,142,0
June Buchanan,Covington Latin,02/21/20,27,Covington Latin,0,72,45,135,62,0
LaRue County,Frederick Douglass,02/21/20,11,Frederick Douglass,0,88,77,141,95,0
Lexington Catholic,Wayne County,02/21/20,18,Wayne County,0,71,53,147,260,0
Lincoln County,Casey County,02/21/20,42,Lincoln County,1,80,38,149,46,0
Lloyd Memorial,Trimble County,02/21/20,1,Trimble County,0,63,62,151,247,0
Madison Southern,Corbin,02/21/20,10,Madison Southern,1,75,65,158,59,0
Male,Central,02/21/20,29,Central,0,81,52,161,48,0
Marion County,John Hardin,02/21/20,5,Marion County,1,60,55,162,133,0
Mayfield,Hickman County,02/21/20,27,Mayfield,1,66,39,166,120,0
McLean County,Apollo,02/21/20,1,McLean County,1,55,54,169,4,0
Metcalfe County,Caverna,02/21/20,2,Caverna,0,48,46,173,47,0
Middlesboro,Lynn Camp,02/21/20,14,Lynn Camp,0,64,50,174,155,0
Model,Powell County,02/21/20,15,Model,1,65,50,175,209,0
Muhlenberg County,Owensboro Catholic,02/21/20,0.5,Muhlenberg County,1,61,59,180,195,0
Newport,Breathitt County,02/21/20,0.5,Breathitt County,0,74,65,183,29,0
North Laurel,Knox Central,02/21/20,6,North Laurel,1,84,78,188,139,0
North Oldham,DeSales,02/21/20,2,North Oldham,1,59,57,189,70,0
Owensboro,Henderson County,02/21/20,17,Owensboro,1,72,55,194,116,0
Paris,Western Hills,02/21/20,3,Western Hills,0,71,68,199,265,0
Paul Laurence Dunbar,Scott County,02/21/20,14,Scott County,0,63,49,200,224,0
Perry County Central,Bell County,02/21/20,6,Bell County,0,60,54,202,16,0
Phelps,Betsy Layne,02/21/20,2,Phelps,1,54,52,203,21,0
Pleasure Ridge Park,Beth Haven,02/21/20,33,Pleasure Ridge Park,1,103,70,207,19,0
Robertson County,Burgin,02/21/20,55,Burgin,0,85,30,214,36,0
Rockcastle County,Russell County,02/21/20,0.5,Rockcastle County,1,51,49,215,219,0
Rose Hill Christian,OUT_STATE,02/21/20,27,OUT_STATE,0,89,62,216,0,0
Russell,Belfry,02/21/20,9,Belfry,0,66,57,218,15,0
Sayre,Wolfe County,02/21/20,5,Wolfe County,0,67,62,222,270,0
Seneca,Valley,02/21/20,11,Seneca,1,65,54,225,252,0
Shelby County,Gallatin County,02/21/20,2,Shelby County,1,70,68,227,99,0
South Warren,Butler County,02/21/20,22,South Warren,1,77,55,233,38,0
Southern,Iroquois,02/21/20,6,Iroquois,0,70,64,234,128,0
Southwestern,Cordia,02/21/20,23,Southwestern,1,103,80,235,60,0
Spencer County,Thomas Nelson,02/21/20,23,Spencer County,1,55,32,236,244,0
St. Henry,Holy Cross (Covington),02/21/20,15,St. Henry,1,74,59,238,124,0
Villa Madonna,St. Patrick,02/21/20,2,Villa Madonna,1,67,65,253,240,0
Waggener,St. Xavier,02/21/20,11,Waggener,1,76,65,254,241,0
Warren Central,Lafayette,02/21/20,0.5,Lafayette,0,73,71,257,140,0
Washington County,Green County,02/21/20,8,Washington County,1,80,72,259,107,0
West Carter,OUT_STATE,02/21/20,22,West Carter,1,97,75,262,0,0
Western,Moore,02/21/20,3,Western,1,77,74,264,178,0
Williamsburg,Leslie County,02/21/20,17,Williamsburg,1,73,56,268,144,0
Williamstown,Eminence,02/21/20,2,Eminence,0,40,38,269,81,0
Portland Christian,Danville Christian,02/22/20,14,Portland Christian,1,71,57,208,66,0
Beth Haven,Fort Knox,02/22/20,8,Fort Knox,0,60,52,19,90,0
Christian Fellowship,OUT_STATE,02/22/20,11,OUT_STATE,0,68,57,52,0,0
Dayton,June Buchanan,02/22/20,32,Dayton,1,75,43,69,135,0
Frederick Fraize,St. Francis,02/22/20,0.5,St. Francis,0,69,63,96,237,0
OUT_STATE,Covington Latin,02/22/20,4,OUT_STATE,1,49,45,0,62,0
Marshall County,Livingston Central,02/22/20,39,Marshall County,1,81,42,163,150,0
Pleasure Ridge Park,OUT_STATE,02/22/20,45,Pleasure Ridge Park,1,87,42,207,0,0
Taylor County,Green County,02/22/20,23,Taylor County,1,68,45,243,107,0
North Hardin,Fort Knox,02/23/20,57,Neutral,2,90,33,187,90,1
Holy Cross (Covington),Covington Latin,02/23/20,57,Neutral,2,76,19,124,62,1
Carlisle County,Hickman County,02/24/20,26,Hickman County,0,73,47,44,120,1
McCracken County,Community Christian (Paducah),02/24/20,53,McCracken County,1,75,22,167,56,1
Webster County,Union County,02/24/20,23,Webster County,1,72,49,261,250,1
Logan County,Russellville,02/24/20,50,Russellville,0,71,21,152,220,1
